home_team,away_team,tournament,is_neutral,year,month,home_result
Faroe Islands,Liechtenstein,Friendly,0,2021,6,Win
Germany,Latvia,Friendly,0,2021,6,Win
Rwanda,Central African Republic,Friendly,0,2021,6,Win
Serbia,Jamaica,Friendly,1,2021,6,Draw
Ukraine,Cyprus,Friendly,0,2021,6,Win
Guam,Syria,FIFA World Cup qualification,1,2021,6,Loss
China,Philippines,FIFA World Cup qualification,1,2021,6,Win
Nepal,Jordan,FIFA World Cup qualification,1,2021,6,Loss
Australia,Taiwan,FIFA World Cup qualification,1,2021,6,Win
Iraq,Cambodia,FIFA World Cup qualification,1,2021,6,Win
Uzbekistan,Singapore,FIFA World Cup qualification,1,2021,6,Win
Bangladesh,India,FIFA World Cup qualification,1,2021,6,Loss
Kyrgyzstan,Mongolia,FIFA World Cup qualification,1,2021,6,Loss
Japan,Tajikistan,FIFA World Cup qualification,0,2021,6,Win
United Arab Emirates,Thailand,FIFA World Cup qualification,0,2021,6,Win
Vietnam,Indonesia,FIFA World Cup qualification,1,2021,6,Win
Bahrain,Iran,FIFA World Cup qualification,0,2021,6,Loss
Qatar,Oman,FIFA World Cup qualification,0,2021,6,Win
Benin,Zambia,Friendly,0,2021,6,Draw
Cameroon,Nigeria,Friendly,1,2021,6,Draw
Czech Republic,Albania,Friendly,0,2021,6,Win
France,Bulgaria,Friendly,0,2021,6,Win
Gambia,Togo,Friendly,1,2021,6,Win
Hungary,Republic of Ireland,Friendly,0,2021,6,Draw
Kosovo,Guinea,Friendly,1,2021,6,Loss
Morocco,Ghana,Friendly,0,2021,6,Win
Mozambique,Eswatini,Friendly,0,2021,6,Draw
Poland,Iceland,Friendly,0,2021,6,Draw
Senegal,Cape Verde,Friendly,0,2021,6,Win
Spain,Lithuania,Friendly,0,2021,6,Win
Grenada,Montserrat,FIFA World Cup qualification,0,2021,6,Loss
El Salvador,Antigua and Barbuda,FIFA World Cup qualification,0,2021,6,Win
Canada,Suriname,FIFA World Cup qualification,1,2021,6,Win
Bermuda,Cayman Islands,FIFA World Cup qualification,1,2021,6,Draw
Saint Vincent and the Grenadines,Cuba,FIFA World Cup qualification,1,2021,6,Loss
Curaçao,Guatemala,FIFA World Cup qualification,0,2021,6,Draw
Barbados,Dominica,FIFA World Cup qualification,1,2021,6,Draw
Panama,Dominican Republic,FIFA World Cup qualification,0,2021,6,Win
Haiti,Nicaragua,FIFA World Cup qualification,0,2021,6,Win
Guyana,Puerto Rico,FIFA World Cup qualification,1,2021,6,Loss
Trinidad and Tobago,Saint Kitts and Nevis,FIFA World Cup qualification,1,2021,6,Win
Ecuador,Peru,FIFA World Cup qualification,0,2021,6,Loss
Colombia,Argentina,FIFA World Cup qualification,0,2021,6,Draw
Venezuela,Uruguay,FIFA World Cup qualification,0,2021,6,Draw
Paraguay,Brazil,FIFA World Cup qualification,0,2021,6,Loss
Chile,Bolivia,FIFA World Cup qualification,0,2021,6,Draw
Turkmenistan,Lebanon,FIFA World Cup qualification,1,2021,6,Win
Niger,Congo,Friendly,1,2021,6,Loss
Portugal,Israel,Friendly,0,2021,6,Win
United States,Costa Rica,Friendly,0,2021,6,Win
South Korea,Sri Lanka,FIFA World Cup qualification,0,2021,6,Win
Estonia,Latvia,Baltic Cup,0,2021,6,Win
South Africa,Uganda,Friendly,0,2021,6,Win
